nombre,precio,tienda
Manzana Sidhe (HD Aniversario - Secreta),40000,MyL Serena
Salmón del Saber (HD Aniversario - Buy a Box),18000,MyL Serena
Linaje Celta (HD Aniversario - Buy a Box),12000,MyL Serena
Gaitas (HD Aniversario - Buy a Box),12000,MyL Serena
Forma de Lince (LBPB24 - Dorada),12000,MyL Serena
Tadg el Druida (LBPB24 - Buy a box),12000,MyL Serena
Goblin (Full Art Premium),12000,MyL Serena
Dionisio Zagreo (Relatos de Helénica),10000,MyL Serena
Leonidas (Helénica Aniv - UR),10000,MyL Serena
Rhiannon (HD Aniversario - UR),10000,MyL Serena
Carmix (HD Aniversario - Buy a Box),10000,MyL Serena
Ogham (HD Aniversario - Buy a Box),10000,MyL Serena
Figuras Negras (LBPB24 - Ultra Secreta),10000,MyL Serena
Glas Gaibhenenn (LBPB24 - Ultra Secreta),10000,MyL Serena
Focea (Colección Secreta 2025),10000,MyL Serena
Tom Thumb (Leyendas PB 3.0 - Legendaria),8000,MyL Serena
Odisea (Relatos de Helénica - Rework),8000,MyL Serena
Leucrota (Helénica Aniv - UR),8000,MyL Serena
Marmita Druida (HD Aniversario - VC Foil - Rework),8000,MyL Serena
Cáliz Maldito (Kit Inferno - Promocional),8000,MyL Serena
Árbol de Sangre (LBPB24 - Dorada),8000,MyL Serena
Anillos de Badbury (TKPB25 - Juicio y Visión),8000,MyL Serena
Morir de Pie (Colección Secreta 2025),8000,MyL Serena
Resplandor de Heka (Colección Secreta 2025),8000,MyL Serena
Figuras Negras (TKit Premium 2024 - Fuerza y Destino),7000,MyL Serena
Forma de Lince (TKit Premium 2024 - Magia y Divinidad),7000,MyL Serena
Julio César (Helénica Aniv - UR),7000,MyL Serena
Festividades (Lootbox 2023),7000,MyL Serena
Macda Tho (HD Aniversario - UR),7000,MyL Serena
Fergus  (HD Aniversario - UR),7000,MyL Serena
Papiros de Lahun (LBPB24 - Ultra Secreta),7000,MyL Serena
Toro Apis (TKPB25 - Buy a box),7000,MyL Serena
Cuchulain (HD Aniversario - UR),6000,MyL Serena
Fergus Mor Maceric (HD Aniversario - UR),6000,MyL Serena
Kilgharrah (LBPB24 - Foil Lluvia),6000,MyL Serena
Festividades 2024 (LBPB24 - Promocional),6000,MyL Serena
Focea (TKPB25 - Nobleza y Poder),6000,MyL Serena
Ataque Fulminante (TKPB25 - Nobleza y Poder),6000,MyL Serena
Salmon del Saber (TKPB25 - Buy a box),6000,MyL Serena
Ares (Top Juego Organizado),6000,MyL Serena
Zagreus (Leyendas PB 3.0 - Reales),5000,MyL Serena
